t,cause,jammer_on,jammer_channels
1.000,node_loss,0,""
1.100,node_loss,0,""
1.200,node_loss,0,""
1.300,node_loss,0,""
1.400,node_loss,0,""
1.500,node_loss,0,""
1.600,node_loss,0,""
1.700,node_loss,0,""
1.800,node_loss,0,""
1.900,node_loss,0,""
2.000,node_loss,0,""
2.100,node_loss,0,""
2.200,node_loss,0,""
2.300,node_loss,0,""
2.400,node_loss,0,""
2.500,node_loss,0,""
2.600,node_loss,0,""
2.700,node_loss,0,""
2.800,node_loss,0,""
2.900,node_loss,0,""
3.000,node_loss,0,""
3.100,node_loss,0,""
3.200,node_loss,0,""
3.300,node_loss,0,""
3.400,node_loss,0,""
3.500,node_loss,0,""
3.600,node_loss,0,""
3.700,node_loss,0,""
3.800,node_loss,0,""
3.900,node_loss,0,""
4.000,node_loss,0,""
4.100,node_loss,0,""
4.200,node_loss,0,""
4.300,node_loss,0,""
4.400,node_loss,0,""
4.500,node_loss,0,""
4.600,node_loss,0,""
4.700,node_loss,0,""
4.800,node_loss,0,""
4.900,node_loss,0,""
5.000,node_loss,0,""
5.100,node_loss,0,""
5.200,node_loss,0,""
5.300,node_loss,0,""
5.400,node_loss,0,""
5.500,node_loss,0,""
5.600,node_loss,0,""
5.700,node_loss,0,""
5.800,node_loss,0,""
5.900,node_loss,0,""
6.000,node_loss,0,""
6.100,node_loss,0,""
6.200,node_loss,0,""
6.300,node_loss,0,""
6.400,node_loss,0,""
6.500,node_loss,0,""
6.600,node_loss,0,""
6.700,node_loss,0,""
6.800,node_loss,0,""
6.900,node_loss,0,""
7.000,node_loss,0,""
7.100,node_loss,0,""
7.200,node_loss,0,""
7.300,node_loss,0,""
7.400,node_loss,0,""
7.500,node_loss,0,""
7.600,node_loss,0,""
7.700,node_loss,0,""
7.800,node_loss,0,""
7.900,node_loss,0,""
8.000,node_loss,0,""
8.100,node_loss,0,""
8.200,node_loss,0,""
8.300,node_loss,0,""
8.400,node_loss,0,""
8.500,node_loss,0,""
8.600,node_loss,0,""
8.700,node_loss,0,""
8.800,node_loss,0,""
8.900,node_loss,0,""
9.000,node_loss,0,""
9.100,node_loss,0,""
9.200,node_loss,0,""
9.300,node_loss,0,""
9.400,node_loss,0,""
9.500,node_loss,0,""
9.600,node_loss,0,""
9.700,node_loss,0,""
9.800,node_loss,0,""
9.900,node_loss,0,""
10.000,node_loss,0,""
10.100,node_loss,0,""
10.200,node_loss,0,""
10.300,node_loss,0,""
10.400,node_loss,0,""
10.500,node_loss,0,""
10.600,node_loss,0,""
10.700,node_loss,0,""
10.800,node_loss,0,""
10.900,node_loss,0,""
11.000,node_loss,0,""
11.100,node_loss,0,""
11.200,node_loss,0,""
11.300,node_loss,0,""
11.400,node_loss,0,""
11.500,node_loss,0,""
11.600,node_loss,0,""
11.700,node_loss,0,""
11.800,node_loss,0,""
11.900,node_loss,0,""
12.000,node_loss,0,""
12.100,node_loss,0,""
12.200,node_loss,0,""
12.300,node_loss,0,""
12.400,node_loss,0,""
12.500,node_loss,0,""
12.600,node_loss,0,""
12.700,node_loss,0,""
12.800,node_loss,0,""
12.900,node_loss,0,""
13.000,node_loss,0,""
13.100,node_loss,0,""
13.200,node_loss,0,""
13.300,node_loss,0,""
13.400,node_loss,0,""
13.500,node_loss,0,""
13.600,node_loss,0,""
13.700,node_loss,0,""
13.800,node_loss,0,""
13.900,node_loss,0,""
14.000,node_loss,0,""
14.100,node_loss,0,""
14.200,node_loss,0,""
14.300,node_loss,0,""
14.400,node_loss,0,""
14.500,node_loss,0,""
14.600,node_loss,0,""
14.700,node_loss,0,""
14.800,node_loss,0,""
14.900,node_loss,0,""
15.000,node_loss,0,""
15.100,node_loss,0,""
15.200,node_loss,0,""
15.300,node_loss,0,""
15.400,node_loss,0,""
15.500,node_loss,0,""
15.600,node_loss,0,""
15.700,node_loss,0,""
15.800,node_loss,0,""
15.900,node_loss,0,""
16.000,node_loss,0,""
16.100,node_loss,0,""
16.200,node_loss,0,""
16.300,node_loss,0,""
16.400,node_loss,0,""
16.500,node_loss,0,""
16.600,node_loss,0,""
16.700,node_loss,0,""
16.800,node_loss,0,""
16.900,node_loss,0,""
17.000,node_loss,0,""
17.100,node_loss,0,""
17.200,node_loss,0,""
17.300,node_loss,0,""
17.400,node_loss,0,""
17.500,node_loss,0,""
17.600,node_loss,0,""
17.700,node_loss,0,""
17.800,node_loss,0,""
17.900,node_loss,0,""
18.000,node_loss,0,""
18.100,node_loss,0,""
18.200,node_loss,0,""
18.300,node_loss,0,""
18.400,node_loss,0,""
18.500,node_loss,0,""
18.600,node_loss,0,""
18.700,node_loss,0,""
18.800,node_loss,0,""
18.900,node_loss,0,""
19.000,node_loss,0,""
19.100,node_loss,0,""
19.200,node_loss,0,""
19.300,node_loss,0,""
19.400,node_loss,0,""
19.500,node_loss,0,""
19.600,node_loss,0,""
19.700,node_loss,0,""
19.800,node_loss,0,""
19.900,node_loss,0,""
20.000,node_loss,0,""
20.100,node_loss,0,""
20.200,node_loss,0,""
20.300,node_loss,0,""
20.400,node_loss,0,""
20.500,node_loss,0,""
20.600,node_loss,0,""
20.700,node_loss,0,""
20.800,node_loss,0,""
20.900,node_loss,0,""
21.000,node_loss,0,""
21.100,node_loss,0,""
21.200,node_loss,0,""
21.300,node_loss,0,""
21.400,node_loss,0,""
21.500,node_loss,0,""
21.600,node_loss,0,""
21.700,node_loss,0,""
21.800,node_loss,0,""
21.900,node_loss,0,""
22.000,node_loss,0,""
22.100,node_loss,0,""
22.200,node_loss,0,""
22.300,node_loss,0,""
22.400,node_loss,0,""
22.500,node_loss,0,""
22.600,node_loss,0,""
22.700,node_loss,0,""
22.800,node_loss,0,""
22.900,node_loss,0,""
