t,cause,jammer_on,jammer_channels
1.000,hidden_term,0,""
1.100,hidden_term,0,""
1.200,hidden_term,0,""
1.300,hidden_term,0,""
1.400,hidden_term,0,""
1.500,hidden_term,0,""
1.600,hidden_term,0,""
1.700,hidden_term,0,""
1.800,hidden_term,0,""
1.900,hidden_term,0,""
2.000,hidden_term,0,""
2.100,hidden_term,0,""
2.200,hidden_term,0,""
2.300,hidden_term,0,""
2.400,hidden_term,0,""
2.500,hidden_term,0,""
2.600,hidden_term,0,""
2.700,hidden_term,0,""
2.800,hidden_term,0,""
2.900,hidden_term,0,""
3.000,hidden_term,0,""
3.100,hidden_term,0,""
3.200,hidden_term,0,""
3.300,hidden_term,0,""
3.400,hidden_term,0,""
3.500,hidden_term,0,""
3.600,hidden_term,0,""
3.700,hidden_term,0,""
3.800,hidden_term,0,""
3.900,hidden_term,0,""
4.000,hidden_term,0,""
4.100,hidden_term,0,""
4.200,hidden_term,0,""
4.300,hidden_term,0,""
4.400,hidden_term,0,""
4.500,hidden_term,0,""
4.600,hidden_term,0,""
4.700,hidden_term,0,""
4.800,hidden_term,0,""
4.900,hidden_term,0,""
5.000,hidden_term,0,""
5.100,hidden_term,0,""
5.200,hidden_term,0,""
5.300,hidden_term,0,""
5.400,hidden_term,0,""
5.500,hidden_term,0,""
5.600,hidden_term,0,""
5.700,hidden_term,0,""
5.800,hidden_term,0,""
5.900,hidden_term,0,""
6.000,hidden_term,0,""
6.100,hidden_term,0,""
6.200,hidden_term,0,""
6.300,hidden_term,0,""
6.400,hidden_term,0,""
6.500,hidden_term,0,""
6.600,hidden_term,0,""
6.700,hidden_term,0,""
6.800,hidden_term,0,""
6.900,hidden_term,0,""
7.000,hidden_term,0,""
7.100,hidden_term,0,""
7.200,hidden_term,0,""
7.300,hidden_term,0,""
7.400,hidden_term,0,""
7.500,hidden_term,0,""
7.600,hidden_term,0,""
7.700,hidden_term,0,""
7.800,hidden_term,0,""
7.900,hidden_term,0,""
8.000,hidden_term,0,""
8.100,hidden_term,0,""
8.200,hidden_term,0,""
8.300,hidden_term,0,""
8.400,hidden_term,0,""
8.500,hidden_term,0,""
8.600,hidden_term,0,""
8.700,hidden_term,0,""
8.800,hidden_term,0,""
8.900,hidden_term,0,""
9.000,hidden_term,0,""
9.100,hidden_term,0,""
9.200,hidden_term,0,""
9.300,hidden_term,0,""
9.400,hidden_term,0,""
9.500,hidden_term,0,""
9.600,hidden_term,0,""
9.700,hidden_term,0,""
9.800,hidden_term,0,""
9.900,hidden_term,0,""
10.000,hidden_term,0,""
10.100,hidden_term,0,""
10.200,hidden_term,0,""
10.300,hidden_term,0,""
10.400,hidden_term,0,""
10.500,hidden_term,0,""
10.600,hidden_term,0,""
10.700,hidden_term,0,""
10.800,hidden_term,0,""
10.900,hidden_term,0,""
11.000,hidden_term,0,""
11.100,hidden_term,0,""
11.200,hidden_term,0,""
11.300,hidden_term,0,""
11.400,hidden_term,0,""
11.500,hidden_term,0,""
11.600,hidden_term,0,""
11.700,hidden_term,0,""
11.800,hidden_term,0,""
11.900,hidden_term,0,""
12.000,hidden_term,0,""
12.100,hidden_term,0,""
12.200,hidden_term,0,""
12.300,hidden_term,0,""
12.400,hidden_term,0,""
12.500,hidden_term,0,""
12.600,hidden_term,0,""
12.700,hidden_term,0,""
12.800,hidden_term,0,""
12.900,hidden_term,0,""
13.000,hidden_term,0,""
13.100,hidden_term,0,""
13.200,hidden_term,0,""
13.300,hidden_term,0,""
13.400,hidden_term,0,""
13.500,hidden_term,0,""
13.600,hidden_term,0,""
13.700,hidden_term,0,""
13.800,hidden_term,0,""
13.900,hidden_term,0,""
14.000,hidden_term,0,""
14.100,hidden_term,0,""
14.200,hidden_term,0,""
14.300,hidden_term,0,""
14.400,hidden_term,0,""
14.500,hidden_term,0,""
14.600,hidden_term,0,""
14.700,hidden_term,0,""
14.800,hidden_term,0,""
14.900,hidden_term,0,""
15.000,hidden_term,0,""
15.100,hidden_term,0,""
15.200,hidden_term,0,""
15.300,hidden_term,0,""
15.400,hidden_term,0,""
15.500,hidden_term,0,""
15.600,hidden_term,0,""
15.700,hidden_term,0,""
15.800,hidden_term,0,""
15.900,hidden_term,0,""
16.000,hidden_term,0,""
16.100,hidden_term,0,""
16.200,hidden_term,0,""
16.300,hidden_term,0,""
16.400,hidden_term,0,""
16.500,hidden_term,0,""
16.600,hidden_term,0,""
16.700,hidden_term,0,""
16.800,hidden_term,0,""
16.900,hidden_term,0,""
17.000,hidden_term,0,""
17.100,hidden_term,0,""
17.200,hidden_term,0,""
17.300,hidden_term,0,""
17.400,hidden_term,0,""
17.500,hidden_term,0,""
17.600,hidden_term,0,""
17.700,hidden_term,0,""
17.800,hidden_term,0,""
17.900,hidden_term,0,""
18.000,hidden_term,0,""
18.100,hidden_term,0,""
18.200,hidden_term,0,""
18.300,hidden_term,0,""
18.400,hidden_term,0,""
18.500,hidden_term,0,""
18.600,hidden_term,0,""
18.700,hidden_term,0,""
18.800,hidden_term,0,""
18.900,hidden_term,0,""
19.000,hidden_term,0,""
19.100,hidden_term,0,""
19.200,hidden_term,0,""
19.300,hidden_term,0,""
19.400,hidden_term,0,""
19.500,hidden_term,0,""
19.600,hidden_term,0,""
19.700,hidden_term,0,""
19.800,hidden_term,0,""
19.900,hidden_term,0,""
20.000,hidden_term,0,""
20.100,hidden_term,0,""
20.200,hidden_term,0,""
20.300,hidden_term,0,""
20.400,hidden_term,0,""
20.500,hidden_term,0,""
20.600,hidden_term,0,""
20.700,hidden_term,0,""
20.800,hidden_term,0,""
20.900,hidden_term,0,""
21.000,hidden_term,0,""
21.100,hidden_term,0,""
21.200,hidden_term,0,""
21.300,hidden_term,0,""
21.400,hidden_term,0,""
21.500,hidden_term,0,""
21.600,hidden_term,0,""
21.700,hidden_term,0,""
21.800,hidden_term,0,""
21.900,hidden_term,0,""
22.000,hidden_term,0,""
22.100,hidden_term,0,""
22.200,hidden_term,0,""
22.300,hidden_term,0,""
22.400,hidden_term,0,""
22.500,hidden_term,0,""
22.600,hidden_term,0,""
22.700,hidden_term,0,""
22.800,hidden_term,0,""
22.900,hidden_term,0,""
23.000,hidden_term,0,""
23.100,hidden_term,0,""
23.200,hidden_term,0,""
23.300,hidden_term,0,""
23.400,hidden_term,0,""
23.500,hidden_term,0,""
23.600,hidden_term,0,""
23.700,hidden_term,0,""
23.800,hidden_term,0,""
23.900,hidden_term,0,""
24.000,hidden_term,0,""
24.100,hidden_term,0,""
24.200,hidden_term,0,""
24.300,hidden_term,0,""
24.400,hidden_term,0,""
24.500,hidden_term,0,""
24.600,hidden_term,0,""
24.700,hidden_term,0,""
24.800,hidden_term,0,""
24.900,hidden_term,0,""
25.000,hidden_term,0,""
25.100,hidden_term,0,""
25.200,hidden_term,0,""
25.300,hidden_term,0,""
25.400,hidden_term,0,""
25.500,hidden_term,0,""
25.600,hidden_term,0,""
25.700,hidden_term,0,""
25.800,hidden_term,0,""
25.900,hidden_term,0,""
26.000,hidden_term,0,""
26.100,hidden_term,0,""
26.200,hidden_term,0,""
26.300,hidden_term,0,""
26.400,hidden_term,0,""
26.500,hidden_term,0,""
26.600,hidden_term,0,""
26.700,hidden_term,0,""
26.800,hidden_term,0,""
26.900,hidden_term,0,""
27.000,hidden_term,0,""
27.100,hidden_term,0,""
27.200,hidden_term,0,""
27.300,hidden_term,0,""
27.400,hidden_term,0,""
27.500,hidden_term,0,""
27.600,hidden_term,0,""
27.700,hidden_term,0,""
27.800,hidden_term,0,""
27.900,hidden_term,0,""
28.000,hidden_term,0,""
28.100,hidden_term,0,""
28.200,hidden_term,0,""
28.300,hidden_term,0,""
28.400,hidden_term,0,""
28.500,hidden_term,0,""
28.600,hidden_term,0,""
28.700,hidden_term,0,""
28.800,hidden_term,0,""
28.900,hidden_term,0,""
29.000,hidden_term,0,""
29.100,hidden_term,0,""
29.200,hidden_term,0,""
29.300,hidden_term,0,""
29.400,hidden_term,0,""
29.500,hidden_term,0,""
29.600,hidden_term,0,""
29.700,hidden_term,0,""
29.800,hidden_term,0,""
29.900,hidden_term,0,""
30.000,hidden_term,0,""
30.100,hidden_term,0,""
30.200,hidden_term,0,""
30.300,hidden_term,0,""
30.400,hidden_term,0,""
30.500,hidden_term,0,""
30.600,hidden_term,0,""
30.700,hidden_term,0,""
30.800,hidden_term,0,""
30.900,hidden_term,0,""
31.000,hidden_term,0,""
31.100,hidden_term,0,""
31.200,hidden_term,0,""
31.300,hidden_term,0,""
31.400,hidden_term,0,""
31.500,hidden_term,0,""
31.600,hidden_term,0,""
31.700,hidden_term,0,""
31.800,hidden_term,0,""
31.900,hidden_term,0,""
32.000,hidden_term,0,""
32.100,hidden_term,0,""
32.200,hidden_term,0,""
32.300,hidden_term,0,""
32.400,hidden_term,0,""
32.500,hidden_term,0,""
32.600,hidden_term,0,""
32.700,hidden_term,0,""
32.800,hidden_term,0,""
32.900,hidden_term,0,""
33.000,hidden_term,0,""
33.100,hidden_term,0,""
33.200,hidden_term,0,""
33.300,hidden_term,0,""
33.400,hidden_term,0,""
33.500,hidden_term,0,""
33.600,hidden_term,0,""
33.700,hidden_term,0,""
33.800,hidden_term,0,""
33.900,hidden_term,0,""
34.000,hidden_term,0,""
34.100,hidden_term,0,""
34.200,hidden_term,0,""
34.300,hidden_term,0,""
34.400,hidden_term,0,""
34.500,hidden_term,0,""
34.600,hidden_term,0,""
34.700,hidden_term,0,""
34.800,hidden_term,0,""
34.900,hidden_term,0,""
35.000,hidden_term,0,""
35.100,hidden_term,0,""
35.200,hidden_term,0,""
35.300,hidden_term,0,""
35.400,hidden_term,0,""
35.500,hidden_term,0,""
35.600,hidden_term,0,""
35.700,hidden_term,0,""
35.800,hidden_term,0,""
35.900,hidden_term,0,""
36.000,hidden_term,0,""
36.100,hidden_term,0,""
36.200,hidden_term,0,""
36.300,hidden_term,0,""
36.400,hidden_term,0,""
36.500,hidden_term,0,""
36.600,hidden_term,0,""
36.700,hidden_term,0,""
36.800,hidden_term,0,""
36.900,hidden_term,0,""
37.000,hidden_term,0,""
37.100,hidden_term,0,""
37.200,hidden_term,0,""
37.300,hidden_term,0,""
37.400,hidden_term,0,""
37.500,hidden_term,0,""
37.600,hidden_term,0,""
37.700,hidden_term,0,""
37.800,hidden_term,0,""
37.900,hidden_term,0,""
38.000,hidden_term,0,""
38.100,hidden_term,0,""
38.200,hidden_term,0,""
38.300,hidden_term,0,""
38.400,hidden_term,0,""
38.500,hidden_term,0,""
38.600,hidden_term,0,""
38.700,hidden_term,0,""
38.800,hidden_term,0,""
38.900,hidden_term,0,""
39.000,hidden_term,0,""
39.100,hidden_term,0,""
39.200,hidden_term,0,""
39.300,hidden_term,0,""
39.400,hidden_term,0,""
39.500,hidden_term,0,""
39.600,hidden_term,0,""
39.700,hidden_term,0,""
39.800,hidden_term,0,""
39.900,hidden_term,0,""
40.000,hidden_term,0,""
40.100,hidden_term,0,""
40.200,hidden_term,0,""
40.300,hidden_term,0,""
40.400,hidden_term,0,""
40.500,hidden_term,0,""
40.600,hidden_term,0,""
40.700,hidden_term,0,""
40.800,hidden_term,0,""
40.900,hidden_term,0,""
41.000,hidden_term,0,""
41.100,hidden_term,0,""
41.200,hidden_term,0,""
41.300,hidden_term,0,""
41.400,hidden_term,0,""
41.500,hidden_term,0,""
41.600,hidden_term,0,""
41.700,hidden_term,0,""
41.800,hidden_term,0,""
41.900,hidden_term,0,""
42.000,hidden_term,0,""
42.100,hidden_term,0,""
42.200,hidden_term,0,""
42.300,hidden_term,0,""
42.400,hidden_term,0,""
42.500,hidden_term,0,""
42.600,hidden_term,0,""
42.700,hidden_term,0,""
42.800,hidden_term,0,""
42.900,hidden_term,0,""
43.000,hidden_term,0,""
43.100,hidden_term,0,""
43.200,hidden_term,0,""
43.300,hidden_term,0,""
43.400,hidden_term,0,""
43.500,hidden_term,0,""
43.600,hidden_term,0,""
43.700,hidden_term,0,""
43.800,hidden_term,0,""
43.900,hidden_term,0,""
44.000,hidden_term,0,""
44.100,hidden_term,0,""
44.200,hidden_term,0,""
44.300,hidden_term,0,""
44.400,hidden_term,0,""
44.500,hidden_term,0,""
44.600,hidden_term,0,""
44.700,hidden_term,0,""
44.800,hidden_term,0,""
44.900,hidden_term,0,""
45.000,hidden_term,0,""
45.100,hidden_term,0,""
45.200,hidden_term,0,""
45.300,hidden_term,0,""
45.400,hidden_term,0,""
45.500,hidden_term,0,""
45.600,hidden_term,0,""
45.700,hidden_term,0,""
45.800,hidden_term,0,""
45.900,hidden_term,0,""
46.000,hidden_term,0,""
46.100,hidden_term,0,""
46.200,hidden_term,0,""
46.300,hidden_term,0,""
46.400,hidden_term,0,""
46.500,hidden_term,0,""
46.600,hidden_term,0,""
46.700,hidden_term,0,""
46.800,hidden_term,0,""
46.900,hidden_term,0,""
47.000,hidden_term,0,""
47.100,hidden_term,0,""
47.200,hidden_term,0,""
47.300,hidden_term,0,""
47.400,hidden_term,0,""
47.500,hidden_term,0,""
47.600,hidden_term,0,""
47.700,hidden_term,0,""
47.800,hidden_term,0,""
47.900,hidden_term,0,""
48.000,hidden_term,0,""
48.100,hidden_term,0,""
48.200,hidden_term,0,""
48.300,hidden_term,0,""
48.400,hidden_term,0,""
48.500,hidden_term,0,""
48.600,hidden_term,0,""
48.700,hidden_term,0,""
48.800,hidden_term,0,""
48.900,hidden_term,0,""
49.000,hidden_term,0,""
49.100,hidden_term,0,""
49.200,hidden_term,0,""
49.300,hidden_term,0,""
49.400,hidden_term,0,""
49.500,hidden_term,0,""
49.600,hidden_term,0,""
49.700,hidden_term,0,""
49.800,hidden_term,0,""
49.900,hidden_term,0,""
50.000,hidden_term,0,""
50.100,hidden_term,0,""
50.200,hidden_term,0,""
50.300,hidden_term,0,""
50.400,hidden_term,0,""
50.500,hidden_term,0,""
50.600,hidden_term,0,""
50.700,hidden_term,0,""
50.800,hidden_term,0,""
50.900,hidden_term,0,""
51.000,hidden_term,0,""
51.100,hidden_term,0,""
51.200,hidden_term,0,""
51.300,hidden_term,0,""
51.400,hidden_term,0,""
51.500,hidden_term,0,""
51.600,hidden_term,0,""
51.700,hidden_term,0,""
51.800,hidden_term,0,""
51.900,hidden_term,0,""
52.000,hidden_term,0,""
52.100,hidden_term,0,""
52.200,hidden_term,0,""
52.300,hidden_term,0,""
52.400,hidden_term,0,""
52.500,hidden_term,0,""
52.600,hidden_term,0,""
52.700,hidden_term,0,""
52.800,hidden_term,0,""
52.900,hidden_term,0,""
53.000,hidden_term,0,""
53.100,hidden_term,0,""
53.200,hidden_term,0,""
53.300,hidden_term,0,""
53.400,hidden_term,0,""
53.500,hidden_term,0,""
53.600,hidden_term,0,""
53.700,hidden_term,0,""
53.800,hidden_term,0,""
53.900,hidden_term,0,""
54.000,hidden_term,0,""
54.100,hidden_term,0,""
54.200,hidden_term,0,""
54.300,hidden_term,0,""
54.400,hidden_term,0,""
54.500,hidden_term,0,""
54.600,hidden_term,0,""
54.700,hidden_term,0,""
54.800,hidden_term,0,""
54.900,hidden_term,0,""
55.000,hidden_term,0,""
55.100,hidden_term,0,""
55.200,hidden_term,0,""
55.300,hidden_term,0,""
55.400,hidden_term,0,""
55.500,hidden_term,0,""
55.600,hidden_term,0,""
55.700,hidden_term,0,""
55.800,hidden_term,0,""
55.900,hidden_term,0,""
56.000,hidden_term,0,""
56.100,hidden_term,0,""
56.200,hidden_term,0,""
56.300,hidden_term,0,""
56.400,hidden_term,0,""
56.500,hidden_term,0,""
56.600,hidden_term,0,""
56.700,hidden_term,0,""
56.800,hidden_term,0,""
56.900,hidden_term,0,""
57.000,hidden_term,0,""
57.100,hidden_term,0,""
57.200,hidden_term,0,""
57.300,hidden_term,0,""
57.400,hidden_term,0,""
57.500,hidden_term,0,""
57.600,hidden_term,0,""
57.700,hidden_term,0,""
57.800,hidden_term,0,""
57.900,hidden_term,0,""
58.000,hidden_term,0,""
58.100,hidden_term,0,""
58.200,hidden_term,0,""
58.300,hidden_term,0,""
58.400,hidden_term,0,""
58.500,hidden_term,0,""
58.600,hidden_term,0,""
58.700,hidden_term,0,""
58.800,hidden_term,0,""
58.900,hidden_term,0,""
59.000,hidden_term,0,""
59.100,hidden_term,0,""
59.200,hidden_term,0,""
59.300,hidden_term,0,""
59.400,hidden_term,0,""
59.500,hidden_term,0,""
59.600,hidden_term,0,""
59.700,hidden_term,0,""
59.800,hidden_term,0,""
59.900,hidden_term,0,""
