t,cause,jammer_on,jammer_channels
1.000,spot,0,""
1.100,spot,0,""
1.200,spot,0,""
1.300,spot,0,""
1.400,spot,0,""
1.500,spot,0,""
1.600,spot,0,""
1.700,spot,0,""
1.800,spot,0,""
1.900,spot,0,""
2.000,spot,0,""
2.100,spot,0,""
2.200,spot,0,""
2.300,spot,0,""
2.400,spot,0,""
2.500,spot,0,""
2.600,spot,0,""
2.700,spot,0,""
2.800,spot,0,""
2.900,spot,0,""
3.000,spot,0,""
3.100,spot,0,""
3.200,spot,0,""
3.300,spot,0,""
3.400,spot,0,""
3.500,spot,0,""
3.600,spot,0,""
3.700,spot,0,""
3.800,spot,0,""
3.900,spot,0,""
4.000,spot,0,""
4.100,spot,0,""
4.200,spot,0,""
4.300,spot,0,""
4.400,spot,0,""
4.500,spot,0,""
4.600,spot,0,""
4.700,spot,0,""
4.800,spot,0,""
4.900,spot,0,""
5.000,spot,0,""
5.100,spot,0,""
5.200,spot,0,""
5.300,spot,0,""
5.400,spot,0,""
5.500,spot,0,""
5.600,spot,0,""
5.700,spot,0,""
5.800,spot,0,""
5.900,spot,0,""
6.000,spot,0,""
6.100,spot,0,""
6.200,spot,0,""
6.300,spot,0,""
6.400,spot,0,""
6.500,spot,0,""
6.600,spot,0,""
6.700,spot,0,""
6.800,spot,0,""
6.900,spot,0,""
7.000,spot,0,""
7.100,spot,0,""
7.200,spot,0,""
7.300,spot,0,""
7.400,spot,0,""
7.500,spot,0,""
7.600,spot,0,""
7.700,spot,0,""
7.800,spot,0,""
7.900,spot,0,""
8.000,spot,0,""
8.100,spot,0,""
8.200,spot,0,""
8.300,spot,0,""
8.400,spot,0,""
8.500,spot,0,""
8.600,spot,0,""
8.700,spot,0,""
8.800,spot,0,""
8.900,spot,0,""
9.000,spot,0,""
9.100,spot,0,""
9.200,spot,0,""
9.300,spot,0,""
9.400,spot,0,""
9.500,spot,0,""
9.600,spot,0,""
9.700,spot,0,""
9.800,spot,0,""
9.900,spot,0,""
10.000,spot,0,""
10.100,spot,0,""
10.200,spot,0,""
10.300,spot,0,""
10.400,spot,0,""
10.500,spot,0,""
10.600,spot,0,""
10.700,spot,0,""
10.800,spot,0,""
10.900,spot,0,""
11.000,spot,0,""
11.100,spot,0,""
11.200,spot,0,""
11.300,spot,0,""
11.400,spot,0,""
11.500,spot,0,""
11.600,spot,0,""
11.700,spot,0,""
11.800,spot,0,""
11.900,spot,0,""
12.000,spot,0,""
12.100,spot,0,""
12.200,spot,0,""
12.300,spot,0,""
12.400,spot,0,""
12.500,spot,0,""
12.600,spot,0,""
12.700,spot,0,""
12.800,spot,0,""
12.900,spot,0,""
13.000,spot,0,""
13.100,spot,0,""
13.200,spot,0,""
13.300,spot,0,""
13.400,spot,0,""
13.500,spot,0,""
13.600,spot,0,""
13.700,spot,0,""
13.800,spot,0,""
13.900,spot,0,""
14.000,spot,0,""
14.100,spot,0,""
14.200,spot,0,""
14.300,spot,0,""
14.400,spot,0,""
14.500,spot,0,""
14.600,spot,0,""
14.700,spot,0,""
14.800,spot,0,""
14.900,spot,0,""
15.000,spot,0,""
15.100,spot,0,""
15.200,spot,0,""
15.300,spot,0,""
15.400,spot,0,""
15.500,spot,0,""
15.600,spot,0,""
15.700,spot,0,""
15.800,spot,0,""
15.900,spot,0,""
16.000,spot,0,""
16.100,spot,0,""
16.200,spot,0,""
16.300,spot,0,""
16.400,spot,0,""
16.500,spot,0,""
16.600,spot,0,""
16.700,spot,0,""
16.800,spot,0,""
16.900,spot,0,""
17.000,spot,0,""
17.100,spot,0,""
17.200,spot,0,""
17.300,spot,0,""
17.400,spot,0,""
17.500,spot,0,""
17.600,spot,0,""
17.700,spot,0,""
17.800,spot,0,""
17.900,spot,0,""
18.000,spot,1,"6 "
18.100,spot,1,"6 "
18.200,spot,1,"6 "
18.300,spot,1,"6 "
18.400,spot,1,"6 "
18.500,spot,1,"6 "
18.600,spot,1,"6 "
18.700,spot,1,"6 "
18.800,spot,1,"6 "
18.900,spot,1,"6 "
19.000,spot,1,"6 "
19.100,spot,1,"6 "
19.200,spot,1,"6 "
19.300,spot,1,"6 "
19.400,spot,1,"6 "
19.500,spot,1,"6 "
19.600,spot,1,"6 "
19.700,spot,1,"6 "
19.800,spot,1,"6 "
19.900,spot,1,"6 "
20.000,spot,1,"6 "
20.100,spot,1,"6 "
20.200,spot,1,"6 "
20.300,spot,1,"6 "
20.400,spot,1,"6 "
20.500,spot,1,"6 "
20.600,spot,1,"6 "
20.700,spot,1,"6 "
20.800,spot,1,"6 "
20.900,spot,1,"6 "
21.000,spot,1,"6 "
21.100,spot,1,"6 "
21.200,spot,1,"6 "
21.300,spot,1,"6 "
21.400,spot,1,"6 "
21.500,spot,1,"6 "
21.600,spot,1,"6 "
21.700,spot,1,"6 "
21.800,spot,1,"6 "
21.900,spot,1,"6 "
22.000,spot,1,"6 "
22.100,spot,1,"6 "
22.200,spot,1,"6 "
22.300,spot,1,"6 "
22.400,spot,1,"6 "
22.500,spot,1,"6 "
22.600,spot,1,"6 "
22.700,spot,1,"6 "
22.800,spot,1,"6 "
22.900,spot,1,"6 "
23.000,spot,1,"6 "
23.100,spot,1,"6 "
23.200,spot,1,"6 "
23.300,spot,1,"6 "
23.400,spot,1,"6 "
23.500,spot,1,"6 "
23.600,spot,1,"6 "
23.700,spot,1,"6 "
23.800,spot,1,"6 "
23.900,spot,1,"6 "
24.000,spot,1,"6 "
24.100,spot,1,"6 "
24.200,spot,1,"6 "
24.300,spot,1,"6 "
24.400,spot,1,"6 "
24.500,spot,1,"6 "
24.600,spot,1,"6 "
24.700,spot,1,"6 "
24.800,spot,1,"6 "
24.900,spot,1,"6 "
25.000,spot,1,"6 "
25.100,spot,1,"6 "
25.200,spot,1,"6 "
25.300,spot,1,"6 "
25.400,spot,1,"6 "
25.500,spot,1,"6 "
25.600,spot,1,"6 "
25.700,spot,1,"6 "
25.800,spot,1,"6 "
25.900,spot,1,"6 "
26.000,spot,1,"6 "
26.100,spot,1,"6 "
26.200,spot,1,"6 "
26.300,spot,1,"6 "
26.400,spot,1,"6 "
26.500,spot,1,"6 "
26.600,spot,1,"6 "
26.700,spot,1,"6 "
26.800,spot,1,"6 "
26.900,spot,1,"6 "
27.000,spot,1,"6 "
27.100,spot,1,"6 "
27.200,spot,1,"6 "
27.300,spot,1,"6 "
27.400,spot,1,"6 "
27.500,spot,1,"6 "
27.600,spot,1,"6 "
27.700,spot,1,"6 "
27.800,spot,1,"6 "
27.900,spot,1,"6 "
28.000,spot,1,"6 "
28.100,spot,1,"6 "
28.200,spot,1,"6 "
28.300,spot,1,"6 "
28.400,spot,1,"6 "
28.500,spot,1,"6 "
28.600,spot,1,"6 "
28.700,spot,1,"6 "
