t,cause,jammer_on,jammer_channels
1.000,sweep,0,""
1.100,sweep,0,""
1.200,sweep,0,""
1.300,sweep,0,""
1.400,sweep,0,""
1.500,sweep,0,""
1.600,sweep,0,""
1.700,sweep,0,""
1.800,sweep,0,""
1.900,sweep,0,""
2.000,sweep,0,""
2.100,sweep,0,""
2.200,sweep,0,""
2.300,sweep,0,""
2.400,sweep,0,""
2.500,sweep,0,""
2.600,sweep,0,""
2.700,sweep,0,""
2.800,sweep,0,""
2.900,sweep,0,""
3.000,sweep,0,""
3.100,sweep,0,""
3.200,sweep,0,""
3.300,sweep,0,""
3.400,sweep,0,""
3.500,sweep,0,""
3.600,sweep,0,""
3.700,sweep,0,""
3.800,sweep,0,""
3.900,sweep,0,""
4.000,sweep,0,""
4.100,sweep,0,""
4.200,sweep,0,""
4.300,sweep,0,""
4.400,sweep,0,""
4.500,sweep,0,""
4.600,sweep,0,""
4.700,sweep,0,""
4.800,sweep,0,""
4.900,sweep,0,""
5.000,sweep,0,""
5.100,sweep,0,""
5.200,sweep,0,""
5.300,sweep,0,""
5.400,sweep,0,""
5.500,sweep,0,""
5.600,sweep,0,""
5.700,sweep,0,""
5.800,sweep,0,""
5.900,sweep,0,""
6.000,sweep,0,""
6.100,sweep,0,""
6.200,sweep,0,""
6.300,sweep,0,""
6.400,sweep,0,""
6.500,sweep,0,""
6.600,sweep,0,""
6.700,sweep,0,""
6.800,sweep,0,""
6.900,sweep,0,""
7.000,sweep,0,""
7.100,sweep,0,""
7.200,sweep,0,""
7.300,sweep,0,""
7.400,sweep,0,""
7.500,sweep,0,""
7.600,sweep,0,""
7.700,sweep,0,""
7.800,sweep,0,""
7.900,sweep,0,""
8.000,sweep,0,""
8.100,sweep,0,""
8.200,sweep,0,""
8.300,sweep,0,""
8.400,sweep,0,""
8.500,sweep,0,""
8.600,sweep,0,""
8.700,sweep,0,""
8.800,sweep,0,""
8.900,sweep,0,""
9.000,sweep,0,""
9.100,sweep,0,""
9.200,sweep,0,""
9.300,sweep,0,""
9.400,sweep,0,""
9.500,sweep,0,""
9.600,sweep,0,""
9.700,sweep,0,""
9.800,sweep,0,""
9.900,sweep,0,""
10.000,sweep,0,""
10.100,sweep,0,""
10.200,sweep,0,""
10.300,sweep,0,""
10.400,sweep,0,""
10.500,sweep,0,""
10.600,sweep,0,""
10.700,sweep,0,""
10.800,sweep,0,""
10.900,sweep,0,""
11.000,sweep,0,""
11.100,sweep,0,""
11.200,sweep,0,""
11.300,sweep,0,""
11.400,sweep,0,""
11.500,sweep,0,""
11.600,sweep,0,""
11.700,sweep,0,""
11.800,sweep,0,""
11.900,sweep,0,""
12.000,sweep,0,""
12.100,sweep,0,""
12.200,sweep,0,""
12.300,sweep,0,""
12.400,sweep,0,""
12.500,sweep,0,""
12.600,sweep,0,""
12.700,sweep,0,""
12.800,sweep,0,""
12.900,sweep,0,""
13.000,sweep,0,""
13.100,sweep,0,""
13.200,sweep,0,""
13.300,sweep,0,""
13.400,sweep,0,""
13.500,sweep,0,""
13.600,sweep,0,""
13.700,sweep,0,""
13.800,sweep,0,""
13.900,sweep,0,""
14.000,sweep,0,""
14.100,sweep,0,""
14.200,sweep,0,""
14.300,sweep,0,""
14.400,sweep,0,""
14.500,sweep,0,""
14.600,sweep,0,""
14.700,sweep,0,""
14.800,sweep,0,""
14.900,sweep,0,""
15.000,sweep,0,""
15.100,sweep,0,""
15.200,sweep,0,""
15.300,sweep,0,""
15.400,sweep,0,""
15.500,sweep,0,""
15.600,sweep,0,""
15.700,sweep,0,""
15.800,sweep,0,""
15.900,sweep,0,""
16.000,sweep,0,""
16.100,sweep,0,""
16.200,sweep,0,""
16.300,sweep,0,""
16.400,sweep,0,""
16.500,sweep,0,""
16.600,sweep,0,""
16.700,sweep,0,""
16.800,sweep,0,""
16.900,sweep,0,""
17.000,sweep,0,""
17.100,sweep,0,""
17.200,sweep,0,""
17.300,sweep,0,""
17.400,sweep,0,""
17.500,sweep,0,""
17.600,sweep,0,""
17.700,sweep,0,""
17.800,sweep,0,""
17.900,sweep,0,""
18.000,sweep,1,"1 "
18.100,sweep,1,"1 "
18.200,sweep,1,"1 "
18.300,sweep,1,"1 "
18.400,sweep,1,"2 "
18.500,sweep,1,"2 "
18.600,sweep,1,"2 "
18.700,sweep,1,"2 "
18.800,sweep,1,"3 "
18.900,sweep,1,"3 "
19.000,sweep,1,"3 "
19.100,sweep,1,"3 "
19.200,sweep,1,"4 "
19.300,sweep,1,"4 "
19.400,sweep,1,"4 "
19.500,sweep,1,"4 "
19.600,sweep,1,"5 "
19.700,sweep,1,"5 "
19.800,sweep,1,"5 "
19.900,sweep,1,"5 "
20.000,sweep,1,"6 "
20.100,sweep,1,"6 "
20.200,sweep,1,"6 "
20.300,sweep,1,"6 "
20.400,sweep,1,"7 "
20.500,sweep,1,"7 "
20.600,sweep,1,"7 "
20.700,sweep,1,"7 "
20.800,sweep,1,"8 "
20.900,sweep,1,"8 "
21.000,sweep,1,"8 "
21.100,sweep,1,"8 "
21.200,sweep,1,"1 "
21.300,sweep,1,"1 "
21.400,sweep,1,"1 "
21.500,sweep,1,"1 "
21.600,sweep,1,"2 "
21.700,sweep,1,"2 "
21.800,sweep,1,"2 "
21.900,sweep,1,"2 "
22.000,sweep,1,"3 "
22.100,sweep,1,"3 "
22.200,sweep,1,"3 "
22.300,sweep,1,"3 "
22.400,sweep,1,"4 "
22.500,sweep,1,"4 "
22.600,sweep,1,"4 "
22.700,sweep,1,"4 "
22.800,sweep,1,"5 "
22.900,sweep,1,"5 "
23.000,sweep,1,"5 "
23.100,sweep,1,"5 "
23.200,sweep,1,"6 "
23.300,sweep,1,"6 "
23.400,sweep,1,"6 "
23.500,sweep,1,"6 "
23.600,sweep,1,"7 "
23.700,sweep,1,"7 "
23.800,sweep,1,"7 "
23.900,sweep,1,"7 "
24.000,sweep,1,"8 "
24.100,sweep,1,"8 "
24.200,sweep,1,"8 "
24.300,sweep,1,"8 "
24.400,sweep,1,"1 "
24.500,sweep,1,"1 "
24.600,sweep,1,"1 "
24.700,sweep,1,"1 "
24.800,sweep,1,"2 "
24.900,sweep,1,"2 "
25.000,sweep,1,"2 "
25.100,sweep,1,"2 "
25.200,sweep,1,"3 "
25.300,sweep,1,"3 "
25.400,sweep,1,"3 "
25.500,sweep,1,"3 "
25.600,sweep,1,"4 "
25.700,sweep,1,"4 "
25.800,sweep,1,"4 "
25.900,sweep,1,"4 "
26.000,sweep,1,"5 "
26.100,sweep,1,"5 "
26.200,sweep,1,"5 "
26.300,sweep,1,"5 "
26.400,sweep,1,"6 "
26.500,sweep,1,"6 "
26.600,sweep,1,"6 "
26.700,sweep,1,"6 "
26.800,sweep,1,"7 "
26.900,sweep,1,"7 "
27.000,sweep,1,"7 "
27.100,sweep,1,"7 "
27.200,sweep,1,"8 "
27.300,sweep,1,"8 "
27.400,sweep,1,"8 "
27.500,sweep,1,"8 "
27.600,sweep,1,"1 "
27.700,sweep,1,"1 "
27.800,sweep,1,"1 "
27.900,sweep,1,"1 "
28.000,sweep,1,"2 "
28.100,sweep,1,"2 "
28.200,sweep,1,"2 "
28.300,sweep,1,"2 "
28.400,sweep,1,"3 "
28.500,sweep,1,"3 "
28.600,sweep,1,"3 "
28.700,sweep,1,"3 "
28.800,sweep,1,"4 "
28.900,sweep,1,"4 "
29.000,sweep,1,"4 "
29.100,sweep,1,"4 "
29.200,sweep,1,"5 "
29.300,sweep,1,"5 "
29.400,sweep,1,"5 "
29.500,sweep,1,"5 "
29.600,sweep,1,"6 "
29.700,sweep,1,"6 "
29.800,sweep,1,"6 "
29.900,sweep,1,"6 "
30.000,sweep,1,"7 "
30.100,sweep,1,"7 "
30.200,sweep,1,"7 "
30.300,sweep,1,"7 "
30.400,sweep,1,"8 "
30.500,sweep,1,"8 "
30.600,sweep,1,"8 "
30.700,sweep,1,"8 "
30.800,sweep,1,"1 "
30.900,sweep,1,"1 "
31.000,sweep,1,"1 "
31.100,sweep,1,"1 "
31.200,sweep,1,"2 "
31.300,sweep,1,"2 "
31.400,sweep,1,"2 "
31.500,sweep,1,"2 "
31.600,sweep,1,"3 "
31.700,sweep,1,"3 "
31.800,sweep,1,"3 "
31.900,sweep,1,"3 "
32.000,sweep,1,"4 "
32.100,sweep,1,"4 "
32.200,sweep,1,"4 "
32.300,sweep,1,"4 "
32.400,sweep,1,"5 "
32.500,sweep,1,"5 "
32.600,sweep,1,"5 "
32.700,sweep,1,"5 "
32.800,sweep,1,"6 "
32.900,sweep,1,"6 "
33.000,sweep,1,"6 "
33.100,sweep,1,"6 "
33.200,sweep,1,"7 "
33.300,sweep,1,"7 "
33.400,sweep,1,"7 "
33.500,sweep,1,"7 "
33.600,sweep,1,"8 "
33.700,sweep,1,"8 "
33.800,sweep,1,"8 "
33.900,sweep,1,"8 "
34.000,sweep,1,"1 "
34.100,sweep,1,"1 "
34.200,sweep,1,"1 "
34.300,sweep,1,"1 "
34.400,sweep,1,"2 "
34.500,sweep,1,"2 "
34.600,sweep,1,"2 "
34.700,sweep,1,"2 "
34.800,sweep,1,"3 "
34.900,sweep,1,"3 "
35.000,sweep,1,"3 "
35.100,sweep,1,"3 "
35.200,sweep,1,"4 "
35.300,sweep,1,"4 "
35.400,sweep,1,"4 "
35.500,sweep,1,"4 "
35.600,sweep,1,"5 "
35.700,sweep,1,"5 "
35.800,sweep,1,"5 "
35.900,sweep,1,"5 "
36.000,sweep,1,"6 "
36.100,sweep,1,"6 "
36.200,sweep,1,"6 "
36.300,sweep,1,"6 "
36.400,sweep,1,"7 "
36.500,sweep,1,"7 "
36.600,sweep,1,"7 "
36.700,sweep,1,"7 "
36.800,sweep,1,"8 "
36.900,sweep,1,"8 "
37.000,sweep,1,"8 "
37.100,sweep,1,"8 "
37.200,sweep,1,"1 "
37.300,sweep,1,"1 "
37.400,sweep,1,"1 "
37.500,sweep,1,"1 "
37.600,sweep,1,"2 "
37.700,sweep,1,"2 "
37.800,sweep,1,"2 "
37.900,sweep,1,"2 "
38.000,sweep,1,"3 "
38.100,sweep,1,"3 "
38.200,sweep,1,"3 "
38.300,sweep,1,"3 "
38.400,sweep,1,"4 "
38.500,sweep,1,"4 "
38.600,sweep,1,"4 "
38.700,sweep,1,"4 "
38.800,sweep,1,"5 "
38.900,sweep,1,"5 "
39.000,sweep,1,"5 "
39.100,sweep,1,"5 "
39.200,sweep,1,"6 "
39.300,sweep,1,"6 "
39.400,sweep,1,"6 "
39.500,sweep,1,"6 "
39.600,sweep,1,"7 "
39.700,sweep,1,"7 "
39.800,sweep,1,"7 "
39.900,sweep,1,"7 "
40.000,sweep,1,"8 "
40.100,sweep,1,"8 "
40.200,sweep,1,"8 "
40.300,sweep,1,"8 "
40.400,sweep,1,"1 "
40.500,sweep,1,"1 "
40.600,sweep,1,"1 "
40.700,sweep,1,"1 "
40.800,sweep,1,"2 "
40.900,sweep,1,"2 "
41.000,sweep,1,"2 "
41.100,sweep,1,"2 "
41.200,sweep,1,"3 "
41.300,sweep,1,"3 "
41.400,sweep,1,"3 "
41.500,sweep,1,"3 "
41.600,sweep,1,"4 "
41.700,sweep,1,"4 "
41.800,sweep,1,"4 "
41.900,sweep,1,"4 "
42.000,sweep,1,"5 "
42.100,sweep,1,"5 "
42.200,sweep,1,"5 "
42.300,sweep,1,"5 "
42.400,sweep,1,"6 "
42.500,sweep,1,"6 "
42.600,sweep,1,"6 "
42.700,sweep,1,"6 "
42.800,sweep,1,"7 "
42.900,sweep,1,"7 "
43.000,sweep,1,"7 "
43.100,sweep,1,"7 "
43.200,sweep,1,"8 "
43.300,sweep,1,"8 "
43.400,sweep,1,"8 "
43.500,sweep,1,"8 "
43.600,sweep,1,"1 "
43.700,sweep,1,"1 "
43.800,sweep,1,"1 "
43.900,sweep,1,"1 "
44.000,sweep,1,"2 "
44.100,sweep,1,"2 "
44.200,sweep,1,"2 "
44.300,sweep,1,"2 "
44.400,sweep,1,"3 "
44.500,sweep,1,"3 "
44.600,sweep,1,"3 "
44.700,sweep,1,"3 "
44.800,sweep,1,"4 "
44.900,sweep,1,"4 "
45.000,sweep,1,"4 "
45.100,sweep,1,"4 "
45.200,sweep,1,"5 "
45.300,sweep,1,"5 "
45.400,sweep,1,"5 "
45.500,sweep,1,"5 "
45.600,sweep,1,"6 "
45.700,sweep,1,"6 "
45.800,sweep,1,"6 "
45.900,sweep,1,"6 "
46.000,sweep,1,"7 "
46.100,sweep,1,"7 "
46.200,sweep,1,"7 "
46.300,sweep,1,"7 "
46.400,sweep,1,"8 "
46.500,sweep,1,"8 "
46.600,sweep,1,"8 "
46.700,sweep,1,"8 "
46.800,sweep,1,"1 "
46.900,sweep,1,"1 "
47.000,sweep,1,"1 "
47.100,sweep,1,"1 "
47.200,sweep,1,"2 "
47.300,sweep,1,"2 "
47.400,sweep,1,"2 "
47.500,sweep,1,"2 "
47.600,sweep,1,"3 "
47.700,sweep,1,"3 "
47.800,sweep,1,"3 "
47.900,sweep,1,"3 "
48.000,sweep,1,"4 "
48.100,sweep,1,"4 "
48.200,sweep,1,"4 "
48.300,sweep,1,"4 "
48.400,sweep,1,"5 "
48.500,sweep,1,"5 "
48.600,sweep,1,"5 "
48.700,sweep,1,"5 "
48.800,sweep,1,"6 "
48.900,sweep,1,"6 "
49.000,sweep,1,"6 "
49.100,sweep,1,"6 "
49.200,sweep,1,"7 "
49.300,sweep,1,"7 "
49.400,sweep,1,"7 "
49.500,sweep,1,"7 "
49.600,sweep,1,"8 "
49.700,sweep,1,"8 "
49.800,sweep,1,"8 "
49.900,sweep,1,"8 "
50.000,sweep,1,"1 "
50.100,sweep,1,"1 "
50.200,sweep,1,"1 "
50.300,sweep,1,"1 "
50.400,sweep,1,"2 "
50.500,sweep,1,"2 "
50.600,sweep,1,"2 "
50.700,sweep,1,"2 "
50.800,sweep,1,"3 "
50.900,sweep,1,"3 "
51.000,sweep,1,"3 "
51.100,sweep,1,"3 "
51.200,sweep,1,"4 "
51.300,sweep,1,"4 "
51.400,sweep,1,"4 "
51.500,sweep,1,"4 "
51.600,sweep,1,"5 "
51.700,sweep,1,"5 "
51.800,sweep,1,"5 "
51.900,sweep,1,"5 "
52.000,sweep,1,"6 "
52.100,sweep,1,"6 "
52.200,sweep,1,"6 "
52.300,sweep,1,"6 "
52.400,sweep,1,"7 "
52.500,sweep,1,"7 "
52.600,sweep,1,"7 "
52.700,sweep,1,"7 "
52.800,sweep,1,"8 "
52.900,sweep,1,"8 "
53.000,sweep,1,"8 "
53.100,sweep,1,"8 "
53.200,sweep,1,"1 "
53.300,sweep,1,"1 "
53.400,sweep,1,"1 "
53.500,sweep,1,"1 "
53.600,sweep,1,"2 "
53.700,sweep,1,"2 "
53.800,sweep,1,"2 "
53.900,sweep,1,"2 "
54.000,sweep,1,"3 "
54.100,sweep,1,"3 "
54.200,sweep,1,"3 "
54.300,sweep,1,"3 "
54.400,sweep,1,"4 "
54.500,sweep,1,"4 "
