t,cause,jammer_on,jammer_channels
1.000,barrage,0,""
1.100,barrage,0,""
1.200,barrage,0,""
1.300,barrage,0,""
1.400,barrage,0,""
1.500,barrage,0,""
1.600,barrage,0,""
1.700,barrage,0,""
1.800,barrage,0,""
1.900,barrage,0,""
2.000,barrage,0,""
2.100,barrage,0,""
2.200,barrage,0,""
2.300,barrage,0,""
2.400,barrage,0,""
2.500,barrage,0,""
2.600,barrage,0,""
2.700,barrage,0,""
2.800,barrage,0,""
2.900,barrage,0,""
3.000,barrage,0,""
3.100,barrage,0,""
3.200,barrage,0,""
3.300,barrage,0,""
3.400,barrage,0,""
3.500,barrage,0,""
3.600,barrage,0,""
3.700,barrage,0,""
3.800,barrage,0,""
3.900,barrage,0,""
4.000,barrage,0,""
4.100,barrage,0,""
4.200,barrage,0,""
4.300,barrage,0,""
4.400,barrage,0,""
4.500,barrage,0,""
4.600,barrage,0,""
4.700,barrage,0,""
4.800,barrage,0,""
4.900,barrage,0,""
5.000,barrage,0,""
5.100,barrage,0,""
5.200,barrage,0,""
5.300,barrage,0,""
5.400,barrage,0,""
5.500,barrage,0,""
5.600,barrage,0,""
5.700,barrage,0,""
5.800,barrage,0,""
5.900,barrage,0,""
6.000,barrage,0,""
6.100,barrage,0,""
6.200,barrage,0,""
6.300,barrage,0,""
6.400,barrage,0,""
6.500,barrage,0,""
6.600,barrage,0,""
6.700,barrage,0,""
6.800,barrage,0,""
6.900,barrage,0,""
7.000,barrage,0,""
7.100,barrage,0,""
7.200,barrage,0,""
7.300,barrage,0,""
7.400,barrage,0,""
7.500,barrage,0,""
7.600,barrage,0,""
7.700,barrage,0,""
7.800,barrage,0,""
7.900,barrage,0,""
8.000,barrage,0,""
8.100,barrage,0,""
8.200,barrage,0,""
8.300,barrage,0,""
8.400,barrage,0,""
8.500,barrage,0,""
8.600,barrage,0,""
8.700,barrage,0,""
8.800,barrage,0,""
8.900,barrage,0,""
9.000,barrage,0,""
9.100,barrage,0,""
9.200,barrage,0,""
9.300,barrage,0,""
9.400,barrage,0,""
9.500,barrage,0,""
9.600,barrage,0,""
9.700,barrage,0,""
9.800,barrage,0,""
9.900,barrage,0,""
10.000,barrage,0,""
10.100,barrage,0,""
10.200,barrage,0,""
10.300,barrage,0,""
10.400,barrage,0,""
10.500,barrage,0,""
10.600,barrage,0,""
10.700,barrage,0,""
10.800,barrage,0,""
10.900,barrage,0,""
11.000,barrage,0,""
11.100,barrage,0,""
11.200,barrage,0,""
11.300,barrage,0,""
11.400,barrage,0,""
11.500,barrage,0,""
11.600,barrage,0,""
11.700,barrage,0,""
11.800,barrage,0,""
11.900,barrage,0,""
12.000,barrage,0,""
12.100,barrage,0,""
12.200,barrage,0,""
12.300,barrage,0,""
12.400,barrage,0,""
12.500,barrage,0,""
12.600,barrage,0,""
12.700,barrage,0,""
12.800,barrage,0,""
12.900,barrage,0,""
13.000,barrage,0,""
13.100,barrage,0,""
