t,cause,jammer_on,jammer_channels
1.000,congestion,0,""
1.100,congestion,0,""
1.200,congestion,0,""
1.300,congestion,0,""
1.400,congestion,0,""
1.500,congestion,0,""
1.600,congestion,0,""
1.700,congestion,0,""
1.800,congestion,0,""
1.900,congestion,0,""
2.000,congestion,0,""
2.100,congestion,0,""
2.200,congestion,0,""
2.300,congestion,0,""
2.400,congestion,0,""
2.500,congestion,0,""
2.600,congestion,0,""
2.700,congestion,0,""
2.800,congestion,0,""
2.900,congestion,0,""
3.000,congestion,0,""
3.100,congestion,0,""
3.200,congestion,0,""
3.300,congestion,0,""
3.400,congestion,0,""
3.500,congestion,0,""
3.600,congestion,0,""
3.700,congestion,0,""
3.800,congestion,0,""
3.900,congestion,0,""
4.000,congestion,0,""
4.100,congestion,0,""
4.200,congestion,0,""
4.300,congestion,0,""
4.400,congestion,0,""
4.500,congestion,0,""
4.600,congestion,0,""
4.700,congestion,0,""
4.800,congestion,0,""
4.900,congestion,0,""
5.000,congestion,0,""
5.100,congestion,0,""
5.200,congestion,0,""
5.300,congestion,0,""
5.400,congestion,0,""
5.500,congestion,0,""
5.600,congestion,0,""
5.700,congestion,0,""
5.800,congestion,0,""
5.900,congestion,0,""
6.000,congestion,0,""
6.100,congestion,0,""
6.200,congestion,0,""
6.300,congestion,0,""
6.400,congestion,0,""
6.500,congestion,0,""
6.600,congestion,0,""
6.700,congestion,0,""
6.800,congestion,0,""
6.900,congestion,0,""
7.000,congestion,0,""
7.100,congestion,0,""
7.200,congestion,0,""
7.300,congestion,0,""
7.400,congestion,0,""
7.500,congestion,0,""
7.600,congestion,0,""
7.700,congestion,0,""
7.800,congestion,0,""
7.900,congestion,0,""
8.000,congestion,0,""
8.100,congestion,0,""
8.200,congestion,0,""
8.300,congestion,0,""
8.400,congestion,0,""
8.500,congestion,0,""
8.600,congestion,0,""
8.700,congestion,0,""
8.800,congestion,0,""
8.900,congestion,0,""
9.000,congestion,0,""
9.100,congestion,0,""
9.200,congestion,0,""
9.300,congestion,0,""
9.400,congestion,0,""
9.500,congestion,0,""
9.600,congestion,0,""
9.700,congestion,0,""
9.800,congestion,0,""
9.900,congestion,0,""
10.000,congestion,0,""
10.100,congestion,0,""
10.200,congestion,0,""
10.300,congestion,0,""
10.400,congestion,0,""
10.500,congestion,0,""
10.600,congestion,0,""
10.700,congestion,0,""
10.800,congestion,0,""
10.900,congestion,0,""
11.000,congestion,0,""
11.100,congestion,0,""
11.200,congestion,0,""
11.300,congestion,0,""
11.400,congestion,0,""
11.500,congestion,0,""
11.600,congestion,0,""
11.700,congestion,0,""
11.800,congestion,0,""
11.900,congestion,0,""
12.000,congestion,0,""
12.100,congestion,0,""
12.200,congestion,0,""
12.300,congestion,0,""
12.400,congestion,0,""
12.500,congestion,0,""
12.600,congestion,0,""
12.700,congestion,0,""
12.800,congestion,0,""
12.900,congestion,0,""
13.000,congestion,0,""
13.100,congestion,0,""
13.200,congestion,0,""
13.300,congestion,0,""
13.400,congestion,0,""
13.500,congestion,0,""
13.600,congestion,0,""
13.700,congestion,0,""
13.800,congestion,0,""
13.900,congestion,0,""
14.000,congestion,0,""
14.100,congestion,0,""
14.200,congestion,0,""
14.300,congestion,0,""
14.400,congestion,0,""
14.500,congestion,0,""
14.600,congestion,0,""
14.700,congestion,0,""
14.800,congestion,0,""
14.900,congestion,0,""
15.000,congestion,0,""
15.100,congestion,0,""
15.200,congestion,0,""
15.300,congestion,0,""
15.400,congestion,0,""
15.500,congestion,0,""
15.600,congestion,0,""
15.700,congestion,0,""
15.800,congestion,0,""
15.900,congestion,0,""
16.000,congestion,0,""
16.100,congestion,0,""
16.200,congestion,0,""
16.300,congestion,0,""
16.400,congestion,0,""
16.500,congestion,0,""
16.600,congestion,0,""
16.700,congestion,0,""
16.800,congestion,0,""
16.900,congestion,0,""
17.000,congestion,0,""
17.100,congestion,0,""
17.200,congestion,0,""
17.300,congestion,0,""
17.400,congestion,0,""
17.500,congestion,0,""
17.600,congestion,0,""
17.700,congestion,0,""
17.800,congestion,0,""
17.900,congestion,0,""
18.000,congestion,0,""
18.100,congestion,0,""
18.200,congestion,0,""
18.300,congestion,0,""
18.400,congestion,0,""
18.500,congestion,0,""
18.600,congestion,0,""
18.700,congestion,0,""
18.800,congestion,0,""
18.900,congestion,0,""
19.000,congestion,0,""
19.100,congestion,0,""
19.200,congestion,0,""
19.300,congestion,0,""
19.400,congestion,0,""
19.500,congestion,0,""
19.600,congestion,0,""
19.700,congestion,0,""
19.800,congestion,0,""
19.900,congestion,0,""
20.000,congestion,0,""
20.100,congestion,0,""
20.200,congestion,0,""
20.300,congestion,0,""
20.400,congestion,0,""
20.500,congestion,0,""
20.600,congestion,0,""
20.700,congestion,0,""
20.800,congestion,0,""
20.900,congestion,0,""
21.000,congestion,0,""
21.100,congestion,0,""
21.200,congestion,0,""
21.300,congestion,0,""
21.400,congestion,0,""
21.500,congestion,0,""
21.600,congestion,0,""
21.700,congestion,0,""
21.800,congestion,0,""
21.900,congestion,0,""
22.000,congestion,0,""
22.100,congestion,0,""
22.200,congestion,0,""
22.300,congestion,0,""
22.400,congestion,0,""
22.500,congestion,0,""
22.600,congestion,0,""
22.700,congestion,0,""
22.800,congestion,0,""
22.900,congestion,0,""
23.000,congestion,0,""
23.100,congestion,0,""
23.200,congestion,0,""
23.300,congestion,0,""
23.400,congestion,0,""
23.500,congestion,0,""
23.600,congestion,0,""
23.700,congestion,0,""
23.800,congestion,0,""
23.900,congestion,0,""
24.000,congestion,0,""
24.100,congestion,0,""
24.200,congestion,0,""
24.300,congestion,0,""
24.400,congestion,0,""
24.500,congestion,0,""
24.600,congestion,0,""
24.700,congestion,0,""
24.800,congestion,0,""
24.900,congestion,0,""
25.000,congestion,0,""
25.100,congestion,0,""
25.200,congestion,0,""
25.300,congestion,0,""
25.400,congestion,0,""
25.500,congestion,0,""
25.600,congestion,0,""
25.700,congestion,0,""
25.800,congestion,0,""
25.900,congestion,0,""
26.000,congestion,0,""
26.100,congestion,0,""
26.200,congestion,0,""
26.300,congestion,0,""
26.400,congestion,0,""
26.500,congestion,0,""
26.600,congestion,0,""
26.700,congestion,0,""
26.800,congestion,0,""
26.900,congestion,0,""
27.000,congestion,0,""
27.100,congestion,0,""
27.200,congestion,0,""
27.300,congestion,0,""
27.400,congestion,0,""
27.500,congestion,0,""
27.600,congestion,0,""
27.700,congestion,0,""
27.800,congestion,0,""
27.900,congestion,0,""
28.000,congestion,0,""
28.100,congestion,0,""
28.200,congestion,0,""
28.300,congestion,0,""
28.400,congestion,0,""
28.500,congestion,0,""
28.600,congestion,0,""
28.700,congestion,0,""
28.800,congestion,0,""
28.900,congestion,0,""
29.000,congestion,0,""
29.100,congestion,0,""
29.200,congestion,0,""
29.300,congestion,0,""
29.400,congestion,0,""
29.500,congestion,0,""
29.600,congestion,0,""
29.700,congestion,0,""
29.800,congestion,0,""
29.900,congestion,0,""
30.000,congestion,0,""
30.100,congestion,0,""
30.200,congestion,0,""
30.300,congestion,0,""
30.400,congestion,0,""
30.500,congestion,0,""
30.600,congestion,0,""
30.700,congestion,0,""
30.800,congestion,0,""
30.900,congestion,0,""
31.000,congestion,0,""
31.100,congestion,0,""
31.200,congestion,0,""
31.300,congestion,0,""
31.400,congestion,0,""
31.500,congestion,0,""
31.600,congestion,0,""
31.700,congestion,0,""
31.800,congestion,0,""
31.900,congestion,0,""
32.000,congestion,0,""
32.100,congestion,0,""
32.200,congestion,0,""
32.300,congestion,0,""
32.400,congestion,0,""
32.500,congestion,0,""
32.600,congestion,0,""
32.700,congestion,0,""
32.800,congestion,0,""
32.900,congestion,0,""
33.000,congestion,0,""
33.100,congestion,0,""
33.200,congestion,0,""
33.300,congestion,0,""
33.400,congestion,0,""
33.500,congestion,0,""
33.600,congestion,0,""
33.700,congestion,0,""
33.800,congestion,0,""
33.900,congestion,0,""
34.000,congestion,0,""
34.100,congestion,0,""
34.200,congestion,0,""
34.300,congestion,0,""
34.400,congestion,0,""
34.500,congestion,0,""
34.600,congestion,0,""
34.700,congestion,0,""
34.800,congestion,0,""
34.900,congestion,0,""
35.000,congestion,0,""
35.100,congestion,0,""
35.200,congestion,0,""
35.300,congestion,0,""
35.400,congestion,0,""
35.500,congestion,0,""
35.600,congestion,0,""
35.700,congestion,0,""
35.800,congestion,0,""
35.900,congestion,0,""
