t,cause,jammer_on,jammer_channels
1.000,fading,0,""
1.100,fading,0,""
1.200,fading,0,""
1.300,fading,0,""
1.400,fading,0,""
1.500,fading,0,""
1.600,fading,0,""
1.700,fading,0,""
1.800,fading,0,""
1.900,fading,0,""
2.000,fading,0,""
2.100,fading,0,""
2.200,fading,0,""
2.300,fading,0,""
2.400,fading,0,""
2.500,fading,0,""
2.600,fading,0,""
2.700,fading,0,""
2.800,fading,0,""
2.900,fading,0,""
3.000,fading,0,""
3.100,fading,0,""
3.200,fading,0,""
3.300,fading,0,""
3.400,fading,0,""
3.500,fading,0,""
3.600,fading,0,""
3.700,fading,0,""
3.800,fading,0,""
3.900,fading,0,""
4.000,fading,0,""
4.100,fading,0,""
4.200,fading,0,""
4.300,fading,0,""
4.400,fading,0,""
4.500,fading,0,""
4.600,fading,0,""
4.700,fading,0,""
4.800,fading,0,""
4.900,fading,0,""
5.000,fading,0,""
5.100,fading,0,""
5.200,fading,0,""
5.300,fading,0,""
5.400,fading,0,""
5.500,fading,0,""
5.600,fading,0,""
5.700,fading,0,""
5.800,fading,0,""
5.900,fading,0,""
6.000,fading,0,""
6.100,fading,0,""
6.200,fading,0,""
6.300,fading,0,""
6.400,fading,0,""
6.500,fading,0,""
6.600,fading,0,""
6.700,fading,0,""
6.800,fading,0,""
6.900,fading,0,""
7.000,fading,0,""
7.100,fading,0,""
7.200,fading,0,""
7.300,fading,0,""
7.400,fading,0,""
7.500,fading,0,""
7.600,fading,0,""
7.700,fading,0,""
7.800,fading,0,""
7.900,fading,0,""
8.000,fading,0,""
8.100,fading,0,""
8.200,fading,0,""
8.300,fading,0,""
8.400,fading,0,""
8.500,fading,0,""
8.600,fading,0,""
8.700,fading,0,""
8.800,fading,0,""
8.900,fading,0,""
9.000,fading,0,""
9.100,fading,0,""
9.200,fading,0,""
9.300,fading,0,""
9.400,fading,0,""
9.500,fading,0,""
9.600,fading,0,""
9.700,fading,0,""
9.800,fading,0,""
9.900,fading,0,""
10.000,fading,0,""
10.100,fading,0,""
10.200,fading,0,""
10.300,fading,0,""
10.400,fading,0,""
10.500,fading,0,""
10.600,fading,0,""
10.700,fading,0,""
10.800,fading,0,""
10.900,fading,0,""
11.000,fading,0,""
11.100,fading,0,""
11.200,fading,0,""
11.300,fading,0,""
11.400,fading,0,""
11.500,fading,0,""
11.600,fading,0,""
11.700,fading,0,""
11.800,fading,0,""
11.900,fading,0,""
12.000,fading,0,""
12.100,fading,0,""
12.200,fading,0,""
12.300,fading,0,""
12.400,fading,0,""
12.500,fading,0,""
12.600,fading,0,""
12.700,fading,0,""
12.800,fading,0,""
12.900,fading,0,""
13.000,fading,0,""
13.100,fading,0,""
13.200,fading,0,""
13.300,fading,0,""
13.400,fading,0,""
13.500,fading,0,""
13.600,fading,0,""
13.700,fading,0,""
13.800,fading,0,""
13.900,fading,0,""
14.000,fading,0,""
14.100,fading,0,""
14.200,fading,0,""
14.300,fading,0,""
14.400,fading,0,""
14.500,fading,0,""
14.600,fading,0,""
14.700,fading,0,""
14.800,fading,0,""
14.900,fading,0,""
15.000,fading,0,""
15.100,fading,0,""
15.200,fading,0,""
15.300,fading,0,""
15.400,fading,0,""
15.500,fading,0,""
15.600,fading,0,""
15.700,fading,0,""
15.800,fading,0,""
15.900,fading,0,""
16.000,fading,0,""
16.100,fading,0,""
16.200,fading,0,""
16.300,fading,0,""
16.400,fading,0,""
16.500,fading,0,""
16.600,fading,0,""
16.700,fading,0,""
16.800,fading,0,""
16.900,fading,0,""
17.000,fading,0,""
17.100,fading,0,""
17.200,fading,0,""
17.300,fading,0,""
17.400,fading,0,""
17.500,fading,0,""
17.600,fading,0,""
17.700,fading,0,""
17.800,fading,0,""
17.900,fading,0,""
18.000,fading,0,""
18.100,fading,0,""
18.200,fading,0,""
18.300,fading,0,""
18.400,fading,0,""
18.500,fading,0,""
18.600,fading,0,""
18.700,fading,0,""
18.800,fading,0,""
18.900,fading,0,""
19.000,fading,0,""
19.100,fading,0,""
19.200,fading,0,""
19.300,fading,0,""
19.400,fading,0,""
19.500,fading,0,""
19.600,fading,0,""
19.700,fading,0,""
19.800,fading,0,""
19.900,fading,0,""
20.000,fading,0,""
20.100,fading,0,""
20.200,fading,0,""
20.300,fading,0,""
20.400,fading,0,""
20.500,fading,0,""
20.600,fading,0,""
20.700,fading,0,""
