t,cause,jammer_on,jammer_channels
1.000,reactive,0,""
1.100,reactive,0,""
1.200,reactive,0,""
1.300,reactive,0,""
1.400,reactive,0,""
1.500,reactive,0,""
1.600,reactive,0,""
1.700,reactive,0,""
1.800,reactive,0,""
1.900,reactive,0,""
2.000,reactive,0,""
2.100,reactive,0,""
2.200,reactive,0,""
2.300,reactive,0,""
2.400,reactive,0,""
2.500,reactive,0,""
2.600,reactive,0,""
2.700,reactive,0,""
2.800,reactive,0,""
2.900,reactive,0,""
3.000,reactive,0,""
3.100,reactive,0,""
3.200,reactive,0,""
3.300,reactive,0,""
3.400,reactive,0,""
3.500,reactive,0,""
3.600,reactive,0,""
3.700,reactive,0,""
3.800,reactive,0,""
3.900,reactive,0,""
4.000,reactive,0,""
4.100,reactive,0,""
4.200,reactive,0,""
4.300,reactive,0,""
4.400,reactive,0,""
4.500,reactive,0,""
4.600,reactive,0,""
4.700,reactive,0,""
4.800,reactive,0,""
4.900,reactive,0,""
5.000,reactive,0,""
5.100,reactive,0,""
5.200,reactive,0,""
5.300,reactive,0,""
5.400,reactive,0,""
5.500,reactive,0,""
5.600,reactive,0,""
5.700,reactive,0,""
5.800,reactive,0,""
5.900,reactive,0,""
6.000,reactive,0,""
6.100,reactive,0,""
6.200,reactive,0,""
6.300,reactive,0,""
6.400,reactive,0,""
6.500,reactive,0,""
6.600,reactive,0,""
6.700,reactive,0,""
6.800,reactive,0,""
6.900,reactive,0,""
7.000,reactive,0,""
7.100,reactive,0,""
7.200,reactive,0,""
7.300,reactive,0,""
7.400,reactive,0,""
7.500,reactive,0,""
7.600,reactive,0,""
7.700,reactive,0,""
7.800,reactive,0,""
7.900,reactive,0,""
8.000,reactive,0,""
8.100,reactive,0,""
8.200,reactive,0,""
8.300,reactive,0,""
8.400,reactive,0,""
8.500,reactive,0,""
8.600,reactive,0,""
8.700,reactive,0,""
8.800,reactive,0,""
8.900,reactive,0,""
9.000,reactive,0,""
9.100,reactive,0,""
9.200,reactive,0,""
9.300,reactive,0,""
9.400,reactive,0,""
9.500,reactive,0,""
9.600,reactive,0,""
9.700,reactive,0,""
9.800,reactive,0,""
9.900,reactive,0,""
10.000,reactive,0,""
10.100,reactive,0,""
10.200,reactive,0,""
10.300,reactive,0,""
10.400,reactive,0,""
10.500,reactive,0,""
10.600,reactive,0,""
10.700,reactive,0,""
10.800,reactive,0,""
10.900,reactive,0,""
11.000,reactive,0,""
11.100,reactive,0,""
11.200,reactive,0,""
11.300,reactive,0,""
11.400,reactive,0,""
11.500,reactive,0,""
11.600,reactive,0,""
11.700,reactive,0,""
11.800,reactive,0,""
11.900,reactive,0,""
12.000,reactive,0,""
12.100,reactive,0,""
12.200,reactive,0,""
12.300,reactive,0,""
12.400,reactive,0,""
12.500,reactive,0,""
12.600,reactive,0,""
12.700,reactive,0,""
12.800,reactive,0,""
12.900,reactive,0,""
13.000,reactive,0,""
13.100,reactive,0,""
13.200,reactive,0,""
13.300,reactive,0,""
13.400,reactive,0,""
13.500,reactive,0,""
13.600,reactive,0,""
13.700,reactive,0,""
13.800,reactive,0,""
13.900,reactive,0,""
14.000,reactive,0,""
14.100,reactive,0,""
14.200,reactive,0,""
14.300,reactive,0,""
14.400,reactive,0,""
14.500,reactive,0,""
14.600,reactive,0,""
14.700,reactive,0,""
14.800,reactive,0,""
14.900,reactive,0,""
15.000,reactive,0,""
15.100,reactive,0,""
15.200,reactive,0,""
15.300,reactive,0,""
15.400,reactive,0,""
15.500,reactive,0,""
15.600,reactive,0,""
15.700,reactive,0,""
15.800,reactive,0,""
15.900,reactive,0,""
16.000,reactive,0,""
16.100,reactive,0,""
16.200,reactive,0,""
16.300,reactive,0,""
16.400,reactive,0,""
16.500,reactive,0,""
16.600,reactive,0,""
16.700,reactive,0,""
16.800,reactive,0,""
16.900,reactive,0,""
17.000,reactive,0,""
17.100,reactive,0,""
17.200,reactive,0,""
17.300,reactive,0,""
17.400,reactive,0,""
17.500,reactive,0,""
17.600,reactive,0,""
17.700,reactive,0,""
17.800,reactive,0,""
17.900,reactive,0,""
18.000,reactive,1,"1 2 3 4 5 6 7 8 "
18.100,reactive,1,"1 2 3 4 5 6 7 8 "
18.200,reactive,1,"1 2 3 4 5 6 7 8 "
18.300,reactive,1,"1 2 3 4 5 6 7 8 "
18.400,reactive,1,"1 2 3 4 5 6 7 8 "
